id,category,subcategory,question,slug,answer,answer_type,policies
151,,,Преамбули,preambuli,Преамбули,,"Ми, українці, незалежно від нашого етнічного походження, є єдиним національним тілом, маємо живу душу та невмирущий дух. Усвідомлення цього скеровуватиме політичну діяльність нашого об’єднання у парламенті.
Ми були і залишатимемося нацією миру. Але ми завжди будемо готові боронити свою землю і свою свободу. І ми завжди пам’ятатимемо, шануватимемо і молитимемося за тих, хто захищав нас у важкі часи.
Ми розумні, вміємо вчитися і прагнемо до нових знань. Саме завдяки цьому вмінню і прагненню нам вдалося відстояти свою свободу.
Ми дбаємо про виховання своїх дітей і стверджуємося у праці. Турбота про наших дітей і наша працьовитість - ось запорука нашого добробуту.
Ми навчилися допомагати один одному. І саме взаємна підтримка робить нашу націю правдиво незалежною. {Самопоміч}

Україна опинилася у вирі геополітичних змін. Події, які відбуваються в країні, стали випробуванням для нас, викликом для світових демократій, тестом на міцність цінностей, на яких була побудована сучасна європейська цивілізація.
Революція Гідності стала епіцентром глобального змагання цінностей, коли з одного боку постали люди, які обрали свободу та власне розуміння свого майбутнього, а з другого – ниці вожді, які будували патронажну державу в якій громадяни були б позбавлені права вибору.
Боротьба за свободу, право на самовизначення, зіткнення різних цивілізаційних парадигм – виклики планетарного масштабу. Щоб відповісти на них, ми маємо зуміти побачити Україну у світовому ціннісному контексті. А зрозумівши цей контекст, ми маємо визначити стратегію змін власного суспільства та власної держави.
Українці довели своє прагнення жити в європейській країні. На основі наших цінностей ми будуємо оновлену державу. Ми готові відповісти на виклики сучасності. {БПП}

Не назвавши речі своїми іменами, не зро­бивши правильних висновків — Україна не зможе ефективно протистояти окупантам. Ми не маємо права уступити їм жодної п’яді нашої землі та допустити появи другого Придністров’я. Не за це гинули наші героїчні військові. Заради безпеки і мирного неба над головами наших батьків та дітей — ми не маємо права здаватися.
Щоб зупинити агресора і здобути мир, укра­їнська влада повинна стати набагато силь­нішою і діяти рішуче. Зараз влада, на жаль, слабка та піддається тиску Кремля. Хаос на фронтах і всередині країни треба припинити. Мета партії — зупинити без­лад в економіці, дати бій корупції, очистити владу, збудувати сучасну та потужну армію. Не здаватися, не капітулювати, а перемагати.
Ми почали із себе, провели люстрацію всередині партії та йдемо на вибори новою і професійною командою, пліч-о-пліч з молодими представниками громадянсько­го суспільства, героями війни та Революції Гідності. З тими, хто не підведе, не зрадить та виступатиме гарантом втілення в життя Плану повного перезавантаження країни і зупинення війни. {Батьківщина}

Для української держави настали доленосні часи. 2014 рік приніс нам тяжкі випробування. Ми заявили на весь світ, що хочемо бути незалежними, скинули тирана і тепер маємо захищати свою свободу зі зброєю в руках. Нам треба очищати владу від зрадників та крадіїв, зміцнювати оборону країни, будувати квітучу країну для гідного життя українців. Це робота для нас — радикальних, енергійних, рішучих та безкомпромісних патріотів. Ми готові приймати сміливі рішення та втілювати їх у життя. {Радикальна партія}

Ми – об’єднання патріотів України. Нас об’єднує любов до своєї країни та її народу – незалежно від національності кожного з нас, мови, віросповідання, соціального походження, роду занять чи рівня матеріального добробуту. Ми любимо своє, але відкриті іншому. Ми цінуємо традиції, але спрямовані в майбутнє. Наш патріотизм – це свідоме рішення жити й працювати для України. Це готовність захищати свою країну всіма силами. Це особиста громадянська відповідальність за сьогодні й завтра. Заради збереження країни ми повинні зробити те, з чим не впоралися політичні вожді та еліти в попередні роки. Наш патріотизм – це рішучість, воля і здатність змінити країну на краще. {УКРОП}

Ми йдемо на вибори, щоб захистити і розвинути наші громади, забезпечити високі стандарти життя для простих людей. Ми живимо і працюємо поруч з людьми. Ми знаємо, які проблеми хвилюють кожного громадянина. Ми знаємо, як ці проблеми вирішувати – і ми вміємо їх вирішувати. Настав час розвитку. В нашій громаді буде зручно і затишно усім і кожному – в цьому ми вбачаємо свій головний обов’язок. Разом ми змінимо життя нашого краю на краще! {Наш край}

Ми – Українці. Ми – у своїй, Богом даній країні. Даруй нам, Боже, звитягу, щоб стати творцями великої Держави! {Свобода}
"
150,Гуманітарна політика,Інформаційна політика,Останнє питання: як будемо перемагати в інформаційній війні?,ostannie_pitannia_iak_budemo_peremagati_v_informatsiinii_viini,Сформуємо власні кібервійська,checkbox,"Формування повноцінних кібервійськ, здатних запобігти агресії у віртуальному просторі. {Відродження}

Держава несе відповідальність за захист від кібератак, кіберзлочинців. {УКРОП}

Використовуючи передовий світовий досвід, при Міністерстві оборони розбудовуються структури, метою яких є ведення інформаційно-психологічних операцій та сучасних кібервійн. {Національний корпус}"
149,Гуманітарна політика,Інформаційна політика,Останнє питання: як будемо перемагати в інформаційній війні?,ostannie_pitannia_iak_budemo_peremagati_v_informatsiinii_viini,Розробимо державну інформаційну політику,checkbox,"Створення системи проактивної державної інформаційної політики. {Самопоміч}

Ідеологія «русского мира» і публічна демонстрація її символів повинна бути заборонена в Україні, як тоталітарна і людиноненависницька. {УКРОП}

Останні події в України свідчать, що без цілеспрямованої роботи держави з патріотичного виховання громадян, без політики формування спільної загальнонаціональної ідентичності, без захисту національного інформаційного простору наше суспільство є неабияк вразливим до руйнівних ворожих впливів. Відтак, вважаємо ці завдання пріоритетними в діяльності влади в гуманітарній сфері. {Народний фронт}

Ми повинні посилити взаємодію між внутрішніми та зовнішніми безпековими діями, затвердити та впровадити стратегічну програму з метою усунення можливостей маніпулювання громадською свідомістю, унеможливити «гібридні впливи» окремих країн світу на дестабілізацію в Україні та провокування негативного відношення до українців за кордоном. {Аграрна партія}

Вилучити з фондів публічних бібліотек України совєцьку і будь-яку антиукраїнську пропагандистську літературу. Заборонити пропагандистські фільми совєцької доби та сучасну кінопродукцію, що пропагує українофобію та викривлює національну історію. {Свобода}"
148,Гуманітарна політика,Інформаційна політика,Останнє питання: як будемо перемагати в інформаційній війні?,ostannie_pitannia_iak_budemo_peremagati_v_informatsiinii_viini,Створимо стандарти роботи з інформацією для чиновників,checkbox,"Ведення єдиних електронних баз даних підвищить ефективність використання інформації. Такі бази повинні створюватися з максимально обмеженим рівнем  доступу, що дасть змогу ефективно опрацьовувати інформацію та уникнути втрати реєстрів унаслідок дій сторонніх осіб, угрупувань, інших держав. Стандартизація роботи з інформацією забезпечить вищий рівень безпеки. Робота з інформацією держустанов та їх фахівців, котрі володіють доступом  до важливих даних, повинна відбуватися за єдиним стандартом. Спецслужби покликані контролювати дотримання цих вимог. {БПП}

Створення сучасної об’єднаної системи управління силами оборони, що базується на цифрових засобах зв’язку; створення об’єднаної системи логістики та постачання сил оборони, яка передбачає максимальну автоматизацію управління транспортними потоками та складськими залишками. {Відродження}"
147,Гуманітарна політика,Інформаційна політика,Останнє питання: як будемо перемагати в інформаційній війні?,ostannie_pitannia_iak_budemo_peremagati_v_informatsiinii_viini,Запровадимо вільний доступ до Інтернету,checkbox,"Щоб зробити Україну повноцінною частиною цивілізації знань, держава зобов’язана гарантувати кожному громадянинові право вільного доступу до Інтернету в установах освіти, науки і культури, а також транспорту та зв’язку. {УКРОП}

Національний інформаційний простір має бути дієво захищений. Для цього необхідно забезпечити 100% інтернет-покриття території України. {Національний корпус}"
146,Гуманітарна політика,Інформаційна політика,Провадження будь-якої гуманітарної політики неможливе без участі медіа. Яка ваша медіастратегія?,provadzhennia_bud_iakoyi_gumanitarnoyi_politiki_nemozhlive_bez_uchasti_media_iaka_vasha_mediastrategiia,Обмеження ліцензій ЗМІ відповідно до їх інформаційної політики,checkbox,"Позбавляти ліцензій ті ЗМІ, які порушують мовне законодавство, принижують національну гідність українців, поширюють дезінформацію або здійснюють антиукраїнську пропаганду. {Свобода}

Ввести нову процедуру ліцензування та перегляд існуючих ліцензій ЗМІ враховуючи безпеку та захист національних інтересів. {Національний корпус}"
145,Гуманітарна політика,Інформаційна політика,Провадження будь-якої гуманітарної політики неможливе без участі медіа. Яка ваша медіастратегія?,provadzhennia_bud_iakoyi_gumanitarnoyi_politiki_nemozhlive_bez_uchasti_media_iaka_vasha_mediastrategiia,Створення суспільних медіа,checkbox,"Суспільні медіа повинні замінити державні та комунальні ЗМІ. Керувати суспільними медіа мають найкращі та найавторитетніші представники медійного сектора, призначені на підставі відкритих конкурсів. Інша засаднича діяльність суспільних медіа – це прозорість та підзвітність їх фінансування. Результатом роботи суспільних медіа мають стати неупереджені програми новин, некомерційні, але суспільно важливі політичні, культурні та освітні програми, які задаватимуть суспільству якісні стандарти сприйняття світу, глибинне усвідомлення нагальних проблем людства та України. {БПП}

Партія виступає за розвиток національного інформаційного простору, конкурентного медіаринку, який має сприяти появі незалежних та професійних ЗМІ, та створення потужних суспільних медій. {Народний фронт}

Будувати незалежні громадські засоби суспільної комунікації. {Народний контроль}"
144,Гуманітарна політика,Інформаційна політика,Провадження будь-якої гуманітарної політики неможливе без участі медіа. Яка ваша медіастратегія?,provadzhennia_bud_iakoyi_gumanitarnoyi_politiki_nemozhlive_bez_uchasti_media_iaka_vasha_mediastrategiia,Створення українських закордонних мовників,checkbox,"Ефективне донесення позиції України закордоном – одне із ключових завдань держави. Для цього повинні здійснювати закордонне мовлення власні ЗМІ, системно залучатися іноземні медіа, використовуватися можливості інтернету та соціальних мереж. Особлива увага має приділятися формуванню позитивного іміджу України та боротьбі із проявами ворожої пропаганди. {БПП}

Створити та сприяти ефективному функціюванню міжнародних інформаційних каналів для популяризації України у світі та забезпечення інформаційних потреб українців, які тимчасово чи постійно перебувають за кордоном. {Свобода}"
143,Гуманітарна політика,Інформаційна політика,Провадження будь-якої гуманітарної політики неможливе без участі медіа. Яка ваша медіастратегія?,provadzhennia_bud_iakoyi_gumanitarnoyi_politiki_nemozhlive_bez_uchasti_media_iaka_vasha_mediastrategiia,Обмеження впливу власників каналів на їх редакційну політику,checkbox,"ЗМІ не можуть належати політикам чи контролюватися ними, а вплив їхніх власників має бути обмежений управлінням бізнес-процесами і бізнес-продуктами ЗМІ. {УКРОП}

Функції донесення суспільно-значущої інформації повинні бути захищені від впливу з боку власників, що буде визначено у профільному кодексі або законі. {УКРОП}

Ніхто не може володіти такою кількістю ЗМІ, які сукупно покривають більше 25% аудиторії в тому чи іншому сегменті (ТБ, радіо, газети, Інтернет). {УКРОП}

Інформація про структуру власників ЗМІ має бути прозорою та відкритою для доступу громадськості. Держава повинна створювати належні умови для чесної  конкуренції на медіа-ринку. Основною мотивацією розвитку приватних ЗМІ має бути бізнес-інтерес, єдиною мотивацією розвитку суспільних ЗМІ має бути  підтримка суспільно значущих інформаційних продуктів. Неприпустимо  використовувати ЗМІ в якості інструмента політичного впливу. {БПП}

Зобов’язати всі ЗМІ інформувати громадян про всіх своїх власників, в тому числі фізичних осіб ‒ кінцевих бенефіціарів (для преси ‒ у кожному номері; для ТБ та радіо ‒ щоденно в ефірі). Усі ЗМІ мають бути зареєстровані на території України у встановленому законом порядку. {Свобода}"
142,Гуманітарна політика,Релігійна політика,"Хоч Україна і є світської державою, проте церква має найбільшу підтримку у потенційних виборців.",khoch_ukrayina_i_ie_svitskoyi_derzhavoiu_prote_tserkva_maie_naibilshu_pidtrimku_u_potentsiinikh_vibortsiv,Створення помісної церкви,checkbox,"Сприяти створенню єдиної Української помісної церкви з центром у Києві. {Свобода}

Держава буде всіляко підтримувати процес об’єднання православних українців у складі єдиної апостольської помісної Української церкви. {Національний корпус}"
